Epoch ID	Tr loss	Val loss	val acc top-1	val acc top-5
0	5.317711	4.786005	13.50%	31.60%
1	4.049845	3.976357	24.50%	48.30%
2	3.437762	3.581413	31.10%	55.70%
3	3.081614	3.225713	36.70%	62.00%
4	2.850014	3.061442	39.50%	64.80%
5	2.685091	2.970629	41.20%	66.10%
6	2.560217	2.752872	44.50%	69.40%
7	2.461242	2.671997	46.00%	70.90%
8	2.381269	2.614631	47.10%	71.80%
9	2.314033	2.583132	47.60%	72.20%
10	2.256218	2.547401	48.40%	72.90%
11	2.205742	2.493446	49.20%	73.60%
12	2.162237	2.515563	48.70%	73.10%
13	2.122672	2.443904	50.20%	74.10%
14	2.087785	2.429379	50.30%	74.30%
15	2.055783	2.426505	50.50%	74.70%
16	2.026114	2.419017	50.50%	74.50%
17	1.999212	2.391541	51.00%	75.00%
18	1.974968	2.385632	51.30%	75.10%
19	1.952944	2.367630	51.70%	75.50%
20	1.931259	2.364563	51.70%	75.60%
21	1.911367	2.364048	51.80%	75.50%
22	1.893052	2.348623	51.90%	75.80%
23	1.875595	2.349042	52.20%	75.90%
24	1.859343	2.340369	51.80%	75.60%
25	1.843442	2.329188	52.10%	76.00%
26	1.828160	2.324981	52.40%	76.10%
27	1.814367	2.311726	52.40%	76.20%
28	1.802118	2.317232	52.60%	76.20%
29	1.788630	2.303110	52.80%	76.50%
30	1.693318	2.227423	54.30%	77.70%
31	1.673958	2.228904	54.30%	77.60%
32	1.663518	2.228559	54.40%	77.80%
33	1.655093	2.229513	54.40%	77.70%
34	1.646660	2.233513	54.30%	77.60%
35	1.639217	2.231530	54.40%	77.80%
36	1.631879	2.242666	54.20%	77.70%
37	1.625491	2.232493	54.40%	77.70%
38	1.619277	2.238529	54.30%	77.70%
39	1.612442	2.244718	54.20%	77.50%
40	1.568030	2.204973	55.10%	78.10%
41	1.556235	2.210562	55.10%	78.10%
42	1.549605	2.209641	55.10%	78.20%
43	1.544562	2.212059	55.00%	78.10%
44	1.538733	2.214659	54.90%	77.90%
45	1.512614	2.195015	55.40%	78.30%
46	1.504871	2.198839	55.30%	78.30%
47	1.499848	2.199657	55.20%	78.40%
48	1.495917	2.201798	55.30%	78.40%
49	1.491108	2.202958	55.10%	78.30%
50	1.490985	2.187351	55.50%	78.50%
51	1.485394	2.187202	55.40%	78.50%
52	1.481591	2.188100	55.50%	78.50%
53	1.478470	2.190110	55.40%	78.50%
54	1.473812	2.192141	55.40%	78.50%
55	1.469692	2.184579	55.70%	78.60%
56	1.465709	2.186907	55.60%	78.60%
57	1.462708	2.186838	55.60%	78.60%
58	1.460048	2.188653	55.50%	78.60%
59	1.456628	2.189872	55.60%	78.60%
60	1.464651	2.185131	55.70%	78.70%
61	1.462081	2.184301	55.60%	78.70%
62	1.459749	2.184109	55.70%	78.70%
63	1.457859	2.185000	55.60%	78.70%
64	1.454092	2.186659	55.70%	78.60%
65	1.457195	2.184891	55.70%	78.70%
66	1.455037	2.185170	55.70%	78.70%
67	1.452853	2.185177	55.70%	78.60%
68	1.450698	2.186246	55.70%	78.70%
69	1.447972	2.187032	55.60%	78.60%
70	1.457745	2.186050	55.60%	78.70%
71	1.455885	2.185658	55.70%	78.70%
72	1.453982	2.185385	55.70%	78.70%
73	1.452473	2.185562	55.70%	78.70%
74	1.448950	2.186187	55.70%	78.70%
75	1.453365	2.185727	55.70%	78.70%
